id;asset_name;description;supplier;purchase_date;purchase_price;useful_life;intensity_units;scaling_factor
1;unconscious buyer;afore versus;misguided whoa;2024-06-12;17310.12;5931.93;5243.78;26607.64
2;between arrogantly long;promptly retch;soon;2024-06-12;17114.93;13114.84;28268.72;15405.71
3;wear;preface;including remand mop;2024-06-11;9165.44;25164.46;28372.74;14149.6
4;if;tremendously;library stink;2024-06-12;28450.85;5009.74;13020.95;23265.36
5;fatherly anxiety;paddle foam cruelly;lively on;2024-06-12;24798.54;17197.67;12377.03;5549.62
6;vampire;affront beside reveal;ally considering under;2024-06-11;29876.24;23204.85;15456.65;31078.65
7;leave ouch safely;hateful since;amid whoever;2024-06-11;25332.91;28446.56;25610.42;19025.48
8;sandblast faint whereas;though;yum violently hence;2024-06-11;14206;2973.47;7092.44;4568.21
9;gosh igloo hmph;sail;mockingly;2024-06-11;21118.89;26704.9;8240.99;30842.71
10;which criterion instead;where last who;what iterate outside;2024-06-12;16496.03;23456.31;8472.94;17362.33
