id;payment_date;amount;currency;eur_fx_rate;amount_in_eur;emission_from_date;emission_to_date;form_of_carbon_price;percent_emission_by_price;form_of_rebate;percent_emission_by_rebate
1;2024-06-11;70.81;USD;16669.92;21443.83;2024-06-11;2024-06-11;vivaciously;23764.1;phooey;7828.23
2;2024-06-12;3595.08;EUR;21377.44;17527.74;2024-06-11;2024-06-12;gosh pure;10123.19;badly ugh hurtful;20780.56
3;2024-06-12;16391.34;EUR;8363.27;9090.62;2024-06-11;2024-06-11;super ack more;18118.89;obscure;32548.79
4;2024-06-12;5119.68;USD;8952.86;20964.55;2024-06-12;2024-06-12;oof psst;45.27;yum;29472.83
5;2024-06-12;8156.21;EUR;15773.57;8196.11;2024-06-12;2024-06-12;tender trash lonely;8469.96;whoever hourly;28445.82
6;2024-06-11;13826.02;EUR;29982.48;6830.72;2024-06-12;2024-06-11;coaxingly spinach sure-footed;28094.98;impress green yet;5795.27
7;2024-06-11;6024.43;USD;28476.71;7756.57;2024-06-11;2024-06-12;defrock rectangle merrily;26457.51;questionably;3980.46
8;2024-06-11;12483;USD;23360.24;22875.75;2024-06-12;2024-06-11;how amongst;28667.47;consequently socialist crushing;4739.15
9;2024-06-12;6610.99;USD;10994.84;12132.53;2024-06-11;2024-06-11;about perfectly when;19586.56;now given;30862.16
10;2024-06-12;13414.87;USD;32641.59;1806.39;2024-06-12;2024-06-11;intently;12832.06;swat;2327.92
