id;company_name;description;industry;country;industry_type;admin;status;bacuti_caps_enabled;image;image_content_type;cbam_impacted
1;attach barring;taut cheerfully fallacy;now once pitiful;Chile;SECONDARY;until huzzah of;INACTIVE;ACTIVE;../fake-data/blob/hipster.png;image/png;false
2;wherever noisy;honestly;between violently;Equatorial Guinea;SECONDARY;likewise parboil;ACTIVE;ACTIVE;../fake-data/blob/hipster.png;image/png;true
3;shabby whoa;lest overwinter;yesterday;Western Sahara;SECONDARY;infinite;ACTIVE;INACTIVE;../fake-data/blob/hipster.png;image/png;false
4;demonstrate tensely;minus;artichoke bake hastily;Tanzania;PRIMARY;spruce stamina future;ACTIVE;INACTIVE;../fake-data/blob/hipster.png;image/png;true
5;taut;vice highly;label uselessly;Liechtenstein;PRIMARY;print among;INACTIVE;ACTIVE;../fake-data/blob/hipster.png;image/png;false
6;although stale;after;compile mindless incarnate;Estonia;PRIMARY;phooey concerning;ACTIVE;INACTIVE;../fake-data/blob/hipster.png;image/png;false
7;flickering zowie;frenzy;smother scarily;Mali;PRIMARY;ceiling kiddingly;ACTIVE;INACTIVE;../fake-data/blob/hipster.png;image/png;false
8;bunker;form;wan pale;Norfolk Island;SECONDARY;wet midst;ACTIVE;INACTIVE;../fake-data/blob/hipster.png;image/png;true
9;stigmatize though for;flail lest;warmhearted;Namibia;SECONDARY;steel;ACTIVE;ACTIVE;../fake-data/blob/hipster.png;image/png;false
10;persist;true anti roughly;athwart old-fashioned;Dominican Republic;PRIMARY;including supposing eek;INACTIVE;ACTIVE;../fake-data/blob/hipster.png;image/png;false
