id;reporting_company;reporting_year;revenue;total_energy_in_mwh;permanent_employees;scope_1;scope_2_location;scope_2_market;scope_3;category_1;category_2;category_3;category_4;category_5;category_6;category_7;category_8;category_9;category_10;category_11;category_12;category_13;category_14;category_15;intensity_scope_1;intensity_scope_1_loction;intensityscope_2_market;intensity_scope_3;intensity_scope_12;intensity_scope_123;activity_level;data_source_type;disclosure_type;data_source;industry_codes;code_type;company_website;company_activities
1;whereas;26655;1726.26;12547.16;17518;21284.42;18732.9;1276.57;5946.39;6591.62;25204.32;28007.76;5982.18;25664.95;11427.99;19328.98;31489.24;15984.43;11201.85;14926.61;21546.55;30932.12;4814.01;28537.31;15212.76;14862.41;26309.33;16580.28;10742.87;18458.3;9120.79;sedately;fooey inside whenever;surprise recite bottling;fort within replicate;minus woot;arrival aboard when;blather jar
2;ululate solidly yahoo;15811;22154.64;15771.26;15265;2506.21;13537.71;32648.85;13621.05;3118.34;5169.15;24512.41;509.04;25187.47;8641.43;19543.93;18541.59;7092.81;13037.35;7671.89;2932.59;3320.68;29121.16;4234.26;22888.7;14395.7;27368.42;12575.27;6195.39;3749.64;17141.41;yet geez mid;before pish modulo;questionably um counteract;uncommon;whose;gosh tankful;energetically
3;tremendously;9712;27118.72;17854.1;32441;15255.87;14680.07;8182.95;26023.1;1787.7;21028.01;11803.73;9252.41;19212.33;1259.78;21822.56;16506.58;13413.09;19509.53;24867.13;7362.43;10985.45;19945.18;7821.12;31169.31;15969.31;27962.93;27938.02;24077.58;6850.9;25689.03;round;shred um though;carbohydrate mmm;consequently;gosh beside;supposing;humanise
4;unaccountably;32041;14748.86;8639.45;3882;8916.76;22249.13;25661.72;28255.77;2996.09;520.65;19745.37;6373.33;19274.43;2773.94;16365.15;1244.53;21681.07;26943.8;14653.97;4340.94;17119.6;1076.66;18352.3;22557.14;20477.65;5904.92;22885.87;13237.83;31374.44;17360.22;ick;whoever;carelessly buckwheat;skin;loosely or;indeed;how
5;checkout friend although;9565;3039.06;1636.72;29719;14494.16;32064.09;23564.55;31452.89;361.58;21884.47;27981.87;24042.64;16330.52;6608.48;6913.31;21416.93;24556.86;7903.62;16593.51;26362.79;11134.47;31759.14;20563.44;1739.7;9738.72;913.25;6085.68;9248.4;9206.13;17780.82;triumphantly;cauliflower;given;instead;fat politely;whose mediocre;ugh
6;thoroughly;22917;4605.59;23251.67;24219;211.2;15597.08;18395.7;32033.7;31361.31;12072.7;26576.41;25535.34;25968.83;21889.04;10777.99;26901.96;26617.53;2831.99;16022.79;13813.13;18081.4;31163.86;8500.92;11168.64;11885.24;11337.27;18468.52;17302.36;2268.98;12594.46;hotdog;next seriously onto;excluding;atop;rasterise sidle;after unto till;twin
7;highly that;3369;7937.79;6939.27;14258;10049.05;27528.27;27180.54;19834.67;31807.24;12772.83;933.46;22659.66;11716.08;14981.86;25938.2;31535.01;3067.15;31749.14;162.86;8142.13;26541.34;32139.67;17013.86;14183.13;8101.7;32495.72;26255.68;18961.32;15877.63;28243.31;phony among;however;instigate times wicked;versus atop pace;pfft dilapidation;boohoo;cormorant
8;albatross certainly;20707;21827.9;15353.96;16380;31199.32;12076.11;9711.37;19967.39;18999.65;18865.01;20172.66;19401.93;31447.06;31873.48;9498.67;31683.53;4866.56;6238.93;8323.9;32031.63;26109.87;24945.84;5095.2;11028.1;15619.84;27069.92;13370.12;7699.03;26384.23;12867.8;prise because down;knavishly opposite up;foundation at toward;absent;woot underestimate;at easily till;out
9;to unnatural odd;14528;21435.31;31080.68;4794;4177.05;7883.8;13315.34;13091.15;23910.83;1308.8;2837.17;29494.91;18282.4;29065.02;15442.04;29816.17;4221.11;29737.59;6742.15;13073.63;5232.95;23095.27;32711.86;5912.57;10650.32;14887.61;11671.93;1294.71;10109.74;28708.36;easy-going;gadzooks loathsome times;creepy who;despite whenever;squeaky survey product;but;swaddle snowplow basic
10;woozy where browser;31110;1846.09;4484.65;22722;24822.22;15703.37;8877.37;10789.59;4478.06;25003.75;17306.73;21442.37;10391.65;30451.01;1485.29;6425.18;24512.05;30772.37;15964.9;23827.65;944.6;1377.53;14437.52;20789.66;14652.98;1465.04;7249.19;16696.73;5109.93;20931.86;brr at;sans weakly ugly;mature;preclude misreport hunch;skunk;surprisingly aged;fluffy but
