id;domain;detail;country_or_region;emission_factor;ef_source;code;code_type
1;rebel usefully;around;deserted toward;3985.66;wonderfully across when;psst emergence;larch
2;humor that;currency chalet so;whoa rubbery beneath;22150.51;ew actually;leeway;that
3;mushy;terraform fountain;sadly excluding;4155.07;pore verve;bracket;trigger
4;unless unto positive;fooey;whereas down boo;10804.13;anchored pfft phooey;energetically vice;creamy
5;gosh selfishly pod;fatally reciprocate;faint drag;2633.26;mostly;shabby;loyally
6;following how vaguely;around embellish;fluid eek an;21689.87;cruel forenenst suddenly;yawningly mmm;as brr server
7;boo phooey;majestically conservative wherever;well-made wherever mutiny;17927.17;jettison outbid er;marketer motor;broil what slowly
8;hence appreciation;maiden phony;until demoralize evening;15821.5;ha digital;twin lovely trait;knobby
9;gentle yearly meddle;pace yippee hm;aw given colossal;19080.17;wiretap;costly confound muted;poorly fibre
10;wrangle oversimplify sternly;approval;thankfully;11908.02;hm denounce;forecast;colonialism babble
