id;travel_type;travel_mode;period_from;period_to;pct_employees;commute_days_per_week;pct_days_travelled;avg_trips_in_period;avg_travel_distance_in_km;avg_hotel_stay_days_per_trip
1;TYPE1;MODE1;2024-06-11;2024-06-11;20060.61;15273.57;24054.59;27231.71;12760.69;19859.78
2;TYPE2;MODE1;2024-06-12;2024-06-11;13157.09;13940.55;11737.51;9869.28;16467.45;20115.21
3;TYPE1;MODE1;2024-06-11;2024-06-11;20813.33;25563.23;9143.95;3585.36;24868.77;10797.62
4;TYPE2;MODE1;2024-06-11;2024-06-11;18810.57;26893.75;9971.8;8707.33;6498.64;217.56
5;TYPE1;MODE2;2024-06-11;2024-06-12;11396.73;15475.32;23330.25;26407.03;21825.56;4255.18
6;TYPE2;MODE1;2024-06-11;2024-06-12;17079.53;30961.23;12516.45;1526.69;7987.24;16398.02
7;TYPE2;MODE2;2024-06-12;2024-06-12;6811.09;20699.28;19525.85;10338.69;5893.56;22123.01
8;TYPE1;MODE1;2024-06-12;2024-06-12;24420.95;10681.91;30276.05;3705.35;25391.18;25792.2
9;TYPE2;MODE2;2024-06-12;2024-06-12;4537.58;30532.46;18683.91;16991.75;30515.75;557.66
10;TYPE1;MODE2;2024-06-12;2024-06-12;3510.22;4947.9;14002.23;22819.39;7412.38;12714.33
