id;energy_type;description;supplier;co_2_emission_factor;upstream_co_2_ef;ef_units;source_for_ef;percent_renewable_src
1;TYPE1;blah vivaciously;unruly;2261.42;16752.48;TYPE1;instructive solemnly indeed;18649.48
2;TYPE2;gleeful skivvy;vice where;27364.03;16488.77;TYPE2;oversimplify absentmindedly;11947.67
3;TYPE2;out grim diaphragm;majestically throughout;11932.19;32029.69;TYPE2;bleakly below;30276.35
4;TYPE1;deny;where after;4611.9;9903.37;TYPE1;solidly coal huzzah;1869.57
5;TYPE1;bleak enormously;like;29074.67;4614.37;TYPE2;vastly;167.42
6;TYPE1;trash daily;masquerade than disarm;13794.19;15085.48;TYPE2;vacantly;6297.26
7;TYPE1;vary;caper date;31467.69;28516.23;TYPE1;whereas upright;27220.03
8;TYPE2;mostly concerning anti;till duh;19053.61;26696.22;TYPE1;physical siege opposite;24044.86
9;TYPE2;impeccable unethically;ha;22207.04;4701.85;TYPE1;polarize;4026.51
10;TYPE2;lynx;pair;10648.6;4121.79;TYPE1;unique demanding contrary;22066.18
