id;item_name;description;item_type;item_category;purchased_item;cbam_impacted;cn_code;cn_name;percent_mn;percent_cr;percent_ni;percent_carbon;percent_other_alloys;percent_other_materials;percent_preconsumer_scrap;scrap_per_item;aggregated_goods_category;ef_units;ef_scaling_factor;supplier_emission_multipler
1;near suffer;fly till blah;ITEMTYPE2;condor splay help;true;false;so through mmm;soupy ew besides;6871.82;18057.85;17645.64;13057.52;5292.22;32436.45;9783.05;22175.46;CATEG2;7692.12;13986.27;28771.73
2;unimpressively gold;overspend bagel;ITEMTYPE1;hm filing;true;false;compute;yieldingly;14223.66;16420.5;13565.19;29767.97;27092.84;25006.11;20424.78;25086.71;CATEG2;23345.5;13608.19;9766.61
3;furthermore at french;before;ITEMTYPE2;physically painfully reflecting;true;true;boohoo;neighbour behind distant;15491.86;18756.95;18288.03;30620.84;29795.68;14705.59;6801.1;20648.19;CATEG1;5501.45;22270.73;19199.25
4;shakily;an given befriend;ITEMTYPE1;voluntarily where;true;true;blah before unto;annually frozen after;10252.47;16287.84;4232.2;9738.7;26069.12;32469.7;23571.12;9489.83;CATEG2;1265.44;32343.16;10253.78
5;evil vibrant ax;huge;ITEMTYPE2;prate loosen brr;true;false;most spotted;fresco borrowing;16955.03;29741.18;21920.72;3641.89;29866.75;7871.45;6876.45;4280.49;CATEG1;8773.49;26978.52;4989.89
6;hand-holding dueling when;bleak;ITEMTYPE1;unimportant woot;false;false;fooey sometimes;pleased;15611.19;24288.93;16832.96;20437.78;6273.89;5047.98;20269.37;12695.5;CATEG1;6337.05;26524.94;10608.08
7;whenever opposite;out;ITEMTYPE2;psst um;false;true;assassination;exert hungrily emend;3567.63;2150.55;22669.75;8575.35;25699.51;11127.7;23099.97;9307.84;CATEG2;31072.6;25999.8;16028.42
8;useless absent lest;famously;ITEMTYPE2;who bulldozer amid;true;true;geez gadzooks marriage;frosty vacantly;20209.91;4460.13;27029.67;3351.62;29881.4;5787.58;16010.68;32148.52;CATEG1;6233.36;30203.57;30876.71
9;grease slight;under;ITEMTYPE1;foolhardy coaxingly;false;true;blackmail huzzah babushka;along;5251.57;20396.05;1481.08;14009.06;3312.62;6286.25;7633.31;660.61;CATEG2;7893.87;11297.24;21687.48
10;until worriedly;knowingly foreground;ITEMTYPE2;ha save clumsy;false;false;numb wholly roughly;likewise tradition knottily;3423.38;11944.12;12068.58;9253.79;10370.06;30370.04;29082.17;26811.6;CATEG2;12788.27;14048.43;3247.55
