id;shipmentdate;shipper;upstream;quantity_shipped;weight_in_kg
1;2024-06-12;yahoo justify;true;11678.38;16559.11
2;2024-06-11;often;true;11338.02;15287.3
3;2024-06-11;boo memorial;false;589.54;20018.71
4;2024-06-12;instead chapter;false;21470.28;9952.22
5;2024-06-11;extremely slight;false;5972.25;1435.72
6;2024-06-11;that hence lest;true;13703.1;925.36
7;2024-06-11;bulky;false;20574.47;31723.57
8;2024-06-11;unfortunate;false;11053.74;75.21
9;2024-06-11;ax except up;true;2117.91;32510.02
10;2024-06-11;defragment certify;true;30007.95;25978.46
