id;supplier_own_item;supplier_mix;supplier_emission_multiplier;intensity_units;intensity_scaling_factor
1;merrily oof minus;1228.22;3362.19;1843.65;24653.03
2;righteously;5993.85;20033.09;27957.45;26408.69
3;apud sadly even;150.87;24853.27;11288.52;26100.11
4;miniaturise;7379.22;12895.55;5087.02;22169.64
5;authentic lobotomy nor;4001.58;9966.98;19407.93;23756.57
6;gadzooks tidy;480.95;3018.12;22853.18;30263.24
7;stealthily oddly officially;13103.35;10177.92;18875.69;9120.57
8;min bah;14087.72;21780.2;13878.09;30392.08
9;finally simple;22579.16;1672.22;6582.85;3254.36
10;than blue;28004.32;2984.81;22177.53;8160.39
