id;useful_life_yrs;emission_source;detail;avg_quantity_per_day;proportion
1;31309.1;CATEG2;hearth upon;14943.07;338.51
2;11129.23;CATEG2;athwart loudly rubbery;21018.55;10403.42
3;25008.28;CATEG2;capitulate amongst;31036.38;17304.08
4;18821.35;CATEG1;chick;24706.1;15788.7
5;15755.95;CATEG1;catch unpack;31563.23;24623
6;11181.84;CATEG1;steamroller rigidly;6736.02;17937.55
7;12021.56;CATEG2;jaunty defiant;5263.3;8111.51
8;12717.67;CATEG2;zowie lurch;16766.39;22436.57
9;16065.29;CATEG1;unto enormously;13630.32;24155.06
10;19076.94;CATEG2;prejudice knowingly apropos;30183.07;30949.41
