id;segment;carrier;mode;distance;from_coordinate_lat;from_coordinate_long;to_coordinate_lat;to_coordinate_long;from_iata;to_iata;emissions_factor;ef_source
1;3346;failing save;MODE1;5439.81;22387.5;26988.25;27041.58;18371.35;ovary;likewise;11648.01;lest deep
2;2355;amenity who;MODE2;10192.55;20487.99;10387.81;2356.6;16504.75;yahoo glossy;yum alongside imaginative;677.42;episode firm
3;27204;bah hastily;MODE1;26935.51;5063.09;13601.65;4315.89;24290.24;furnace surrender instead;sunroom;28066.73;woot blah benchmark
4;11036;actual;MODE1;1132.76;23053.48;9721.83;13676.19;11054.56;where;psst;2686.46;towel numismatist
5;10041;sympathetically how misplay;MODE2;10873.15;22820.54;1248.56;22185.14;9787.6;confide favorite;expression unabashedly;10051.77;acidly
6;10673;hopelessly giant minus;MODE1;2468.03;16443.36;12529.58;10024.36;28233.39;bah;margin blood;315.11;yell joyously
7;22163;farrow;MODE1;22639.43;4314.49;26502.38;16959.65;6785.33;cause;helpfully ugh clavicle;28927.66;especially pro
8;7182;victoriously exactly uh-huh;MODE2;16031.24;12468.81;31593.92;10831.1;21851.05;sometimes;through garden;5514.15;incidentally underneath
9;2046;wording;MODE2;23366.86;22922.76;6268.19;4267.38;16516.73;how unfit;since valiantly;23322.6;strategy ha
10;1709;vagrant towards sans;MODE1;12537.13;3171.84;29049.06;28865.79;16080.2;powerfully till comfortable;frantically combination simmer;20553.24;tough
