id;site_name;description;manufacturing_site;employee_count;cbam_impacted;country;state;address;lattitude;longitude;unlocode;data_quality_desc;default_value_usage_justfn;data_qa_info;default_heat_number
1;tomorrow;as diesel;false;8568;false;Greece;courageously eek likewise;encase radiant;15529.14;9190.26;rigidly until;self-assured er than;ringed youthful brr;stir-fry firebomb absolute;nor now heel
2;bashfully;once per;true;21914;false;United States of America;large happy-go-lucky housework;pig or till;3096.1;17350.17;ugh sorrel;off phew;dissolve;consequently notwithstanding aha;wildly
3;before;until than in;false;32189;false;Rwanda;fervently;out temple cautiously;18215.1;4253.52;decision-making incidentally;overload flop;gah broadly;strong;nectar
4;consequently female;treasured so;true;1996;false;Kenya;at despite;pfft repay;8053.79;29222.52;fiercely times meanwhile;of luxurious safely;subdivide lest roommate;consequently plus;beyond
5;triple hmph;haze once;true;2117;false;Tuvalu;ashamed;while barring reproachfully;11177;17639.32;porch ready after;bassinet above;voluminous complement that;atop a who;beam
6;who officially oh;since shocked azimuth;true;3459;true;Martinique;circle rhyme;now whoever;19348.49;23599.48;courageously aw;accidentally through;mantle;once dual;unimpressively anxious before
7;pish;system dreamily vastly;false;21995;false;Dominica;faithfully dense obnoxiously;factory pfft once;19549.83;29909.41;pence;what;quaint oh recognise;elucidate;coliseum yearningly furthermore
8;inside;ha;false;14214;false;Moldova;packet interestingly female;punctually phrase;18716.26;10698.54;flame um;separate aha;unaccountably paint;incomplete;spokeswoman now fooey
9;fantastic verbally;brick hungry;false;3050;false;Nepal;knavishly;booklet;11803.65;7183.61;arcade energetically;polymerize while;muted once;zowie overprint;irritably meanwhile
10;than scrim;brightly;false;10034;false;Bouvet Island;pish wisdom despite;however;7258.59;12581.42;laugh low fascia;duh expatiate spot;sympathetically jam-packed beach;yuck;snack
